SG_13_4,SG_7_3,SG_9_3,SG_13_3,Original,SG_9_4,Width,SG_7_2,SG_5_4,Amplitude,SG_7_4,SG_11_2,SG_11_3,SG_3_4,SG_5_2,SG_13_2,SG_9_2,SG_5_3,SG_11_4,SG_3_2,SG_3_3
0.4608,0.3947,0.526,0.6824,0.1285,0.2858,8.0,0.4156,0.1271,24,0.2101,0.5924,0.613,0.1165,0.2308,0.67,0.5033,0.2616,0.3934,0.1156,0.1272
0.2896,0.211,0.3451,0.5384,0.0516,0.1395,8.0,0.2223,0.0476,28,0.0801,0.4367,0.4566,0.0461,0.1084,0.5495,0.3258,0.1016,0.2106,0.0446,0.0429
0.8473,0.8251,0.8662,0.9037,0.4872,0.7665,10.0,0.8207,0.4843,0,0.6953,0.8778,0.8791,0.4934,0.753,0.9085,0.8587,0.7282,0.8267,0.5193,0.5016
0.8388,0.8087,0.8688,0.9015,0.5072,0.7706,10.0,0.8059,0.4887,4,0.7011,0.881,0.8886,0.4694,0.742,0.9143,0.8575,0.741,0.8048,0.5073,0.491
0.8325,0.8141,0.8474,0.8871,0.49,0.7433,10.0,0.7998,0.4722,8,0.6853,0.8726,0.8839,0.499,0.7238,0.8972,0.8479,0.7227,0.8021,0.4936,0.4683
0.8166,0.7845,0.8278,0.8802,0.4513,0.7316,10.0,0.7702,0.4512,12,0.6405,0.8631,0.8665,0.4469,0.6928,0.8934,0.8222,0.6713,0.781,0.4425,0.4618
0.7603,0.7062,0.7854,0.8663,0.3817,0.65,10.0,0.7276,0.366,16,0.5631,0.817,0.8055,0.3867,0.6039,0.8455,0.7697,0.6184,0.6919,0.3889,0.3841
0.6291,0.5878,0.6877,0.7845,0.2778,0.5159,10.0,0.6024,0.27,20,0.4277,0.7503,0.7362,0.2952,0.494,0.7864,0.6747,0.473,0.5985,0.2811,0.2802
0.4594,0.4352,0.5503,0.7009,0.1744,0.3529,10.0,0.4396,0.1732,24,0.2701,0.6167,0.6191,0.1779,0.3196,0.6912,0.5324,0.2953,0.4126,0.1734,0.1653
0.2984,0.255,0.3554,0.5674,0.0902,0.174,10.0,0.2665,0.0836,28,0.1243,0.4605,0.4799,0.0896,0.1652,0.5532,0.3748,0.1533,0.2504,0.0846,0.0857
0.8359,0.8134,0.8646,0.9018,0.5015,0.7751,12.0,0.8307,0.5047,0,0.6941,0.8913,0.8825,0.5031,0.7395,0.9063,0.8556,0.7401,0.8015,0.4975,0.4951
0.8482,0.8132,0.8682,0.9019,0.4976,0.7696,12.0,0.8203,0.4877,4,0.7088,0.8776,0.882,0.5047,0.7417,0.9038,0.8626,0.7487,0.8141,0.5176,0.4853
0.829,0.8197,0.8454,0.9022,0.477,0.7584,12.0,0.7944,0.4954,8,0.6923,0.8833,0.8629,0.485,0.714,0.8907,0.8572,0.7269,0.8046,0.4769,0.4762
0.8259,0.7882,0.8303,0.8783,0.4626,0.7299,12.0,0.7784,0.4657,12,0.6615,0.8516,0.861,0.4662,0.7055,0.8937,0.8364,0.7115,0.7828,0.4531,0.4544
0.7514,0.7224,0.7865,0.8597,0.3921,0.6789,12.0,0.7227,0.4079,16,0.5877,0.8341,0.8299,0.3901,0.6328,0.8615,0.7942,0.6375,0.7197,0.4049,0.3916
0.6618,0.6103,0.6988,0.8175,0.3296,0.5242,12.0,0.6346,0.3118,20,0.4725,0.762,0.7419,0.3054,0.5225,0.7913,0.7119,0.5103,0.6033,0.3193,0.3117
0.5339,0.4927,0.5717,0.7115,0.1962,0.4102,12.0,0.4768,0.2214,24,0.3241,0.6437,0.6378,0.2126,0.3853,0.6765,0.5626,0.3664,0.4597,0.2245,0.2171
0.3575,0.3015,0.4049,0.5681,0.1187,0.2347,12.0,0.3005,0.1328,28,0.1936,0.4704,0.4973,0.1161,0.2355,0.5693,0.4229,0.2193,0.3031,0.1293,0.1137
