width,amplitude,best_wl,best_po,best_mean_p,best_power
2.0,0,0,0,0.4861300551852412,0.059
2.0,4,0,0,0.4901306343350665,0.06
2.0,8,3,3,0.3955085962708396,0.133
2.0,12,5,4,0.17815632179222285,0.471
2.0,16,3,4,0.023196765280150473,0.911
2.0,20,3,2,0.00033210261147246454,0.999
2.0,24,0,0,1.598145630380743e-6,1.0
2.0,28,3,2,1.8275241053800072e-10,1.0
4.0,0,0,0,0.48868218411528697,0.06
4.0,4,0,0,0.49059078839510906,0.048
4.0,8,3,4,0.45340517427469723,0.087
4.0,12,0,0,0.3385378994127247,0.207
4.0,16,5,4,0.172785503131698,0.512
4.0,20,3,2,0.04027935913816612,0.833
4.0,24,3,4,0.004672358227878933,0.978
4.0,28,0,0,0.0001436166859512217,1.0
6.0,0,0,0,0.5037342357483748,0.05
6.0,4,5,4,0.4695537973128031,0.067
6.0,8,3,2,0.4612708709538786,0.071
6.0,12,5,4,0.4049528505248384,0.117
6.0,16,3,2,0.2842888875510989,0.289
6.0,20,3,2,0.14787410790515865,0.573
6.0,24,3,2,0.05138782556722783,0.834
6.0,28,3,3,0.008397156590582882,0.961
8.0,0,3,3,0.49217565977942807,0.052
8.0,4,3,4,0.4780518085612177,0.056
8.0,8,0,0,0.4940386044529458,0.069
8.0,12,0,0,0.4572406780308453,0.093
8.0,16,5,4,0.36811690232505173,0.19
8.0,20,3,2,0.2592918305278088,0.362
8.0,24,0,0,0.13229470036577543,0.615
8.0,28,0,0,0.05202165888277593,0.818
10.0,0,3,4,0.4796310445492312,0.061
10.0,4,3,2,0.496192864736464,0.052
10.0,8,3,3,0.4714588544339958,0.067
10.0,12,0,0,0.4638699020294467,0.073
10.0,16,5,4,0.39926066350740014,0.133
10.0,20,5,4,0.31177628099087396,0.258
10.0,24,3,3,0.22711295284739896,0.428
10.0,28,5,4,0.11901634846163356,0.647
12.0,0,3,2,0.4963971788087225,0.06
12.0,4,5,4,0.4847479920934513,0.065
12.0,8,0,0,0.4835529702172134,0.063
12.0,12,0,0,0.4643526879025143,0.076
12.0,16,3,3,0.4354362044991136,0.104
12.0,20,3,2,0.36919282274249954,0.16
12.0,24,0,0,0.2948179824938555,0.311
12.0,28,3,4,0.20667479423993046,0.48
