width,amplitude,best_wl,best_po,best_mean_p,best_power
2.0,0,0,0,0.4812376664990855,0.051
2.0,4,3,4,0.49065378826684614,0.054
2.0,8,3,3,0.4326437672756175,0.089
2.0,12,0,0,0.279941641229959,0.284
2.0,16,3,2,0.08393038002786875,0.692
2.0,20,3,2,0.010000155899879978,0.959
2.0,24,0,0,0.00011340515331953672,1.0
2.0,28,3,2,9.780655917396296e-7,1.0
4.0,0,0,0,0.49660356718441834,0.059
4.0,4,3,2,0.4908570778686894,0.046
4.0,8,0,0,0.46542319298641294,0.074
4.0,12,3,2,0.3724117566453965,0.169
4.0,16,5,4,0.18815122508517956,0.455
4.0,20,5,4,0.05215741109031252,0.784
4.0,24,3,4,0.007859316544603506,0.963
4.0,28,0,0,0.000338933972511395,0.999
6.0,0,5,4,0.48933848098606125,0.056
6.0,4,0,0,0.48034774132839664,0.055
6.0,8,0,0,0.4622337218010944,0.068
6.0,12,3,4,0.4063449235592553,0.125
6.0,16,3,2,0.2845089208630625,0.272
6.0,20,3,2,0.14740151438058702,0.547
6.0,24,0,0,0.04900863813781819,0.814
6.0,28,3,2,0.009120389867095964,0.971
8.0,0,3,3,0.48541523880243426,0.056
8.0,4,3,2,0.4898230035283576,0.059
8.0,8,0,0,0.47612511934950325,0.071
8.0,12,3,3,0.4261862355109695,0.082
8.0,16,3,2,0.3372566366343173,0.204
8.0,20,3,2,0.22840897412890218,0.389
8.0,24,3,2,0.10032476295148303,0.657
8.0,28,0,0,0.041618587537049216,0.854
10.0,0,3,4,0.48488563262925916,0.054
10.0,4,3,2,0.5010608019845327,0.057
10.0,8,5,4,0.46559355845805567,0.068
10.0,12,3,2,0.445179523751044,0.084
10.0,16,5,4,0.366752281068789,0.154
10.0,20,0,0,0.26922921251130455,0.321
10.0,24,3,3,0.16256665672491502,0.514
10.0,28,5,4,0.07527594144978385,0.732
12.0,0,3,2,0.49580984722934807,0.058
12.0,4,5,4,0.4909596412702718,0.057
12.0,8,0,0,0.4732348395693798,0.073
12.0,12,3,2,0.45837314519614547,0.09
12.0,16,0,0,0.404197298504878,0.144
12.0,20,3,4,0.3134336660444711,0.238
12.0,24,0,0,0.20725191566078455,0.412
12.0,28,3,4,0.11672514102249346,0.637
