width,amplitude,best_wl,best_po,best_mean_p,best_power
2.0,0,0,0,0.4826955931983903,0.048
2.0,4,3,4,0.4816543499716796,0.06
2.0,8,0,0,0.46447766044239086,0.073
2.0,12,5,4,0.403379404509664,0.122
2.0,16,0,0,0.2661502787310105,0.28
2.0,20,3,3,0.1213601852064437,0.598
2.0,24,3,4,0.038675497444304985,0.858
2.0,28,3,3,0.004811653716447271,0.973
4.0,0,3,2,0.484386737998806,0.059
4.0,4,0,0,0.4814579062042155,0.052
4.0,8,0,0,0.46190850424628394,0.063
4.0,12,5,4,0.3956249681583175,0.122
4.0,16,3,2,0.2731921109387286,0.282
4.0,20,3,3,0.12381111751274634,0.571
4.0,24,3,3,0.03719051515448187,0.832
4.0,28,0,0,0.005180290128709964,0.973
6.0,0,5,4,0.4935921589234796,0.06
6.0,4,0,0,0.4803543760267469,0.058
6.0,8,3,2,0.4692676079810794,0.081
6.0,12,0,0,0.41690513667831974,0.09
6.0,16,3,4,0.3110636671160487,0.25
6.0,20,0,0,0.18263070709869278,0.494
6.0,24,3,2,0.07315102507007824,0.753
6.0,28,3,2,0.014365308004058414,0.927
8.0,0,3,2,0.498294419460902,0.05
8.0,4,3,4,0.49276331391906214,0.06
8.0,8,0,0,0.47153321447331864,0.07
8.0,12,0,0,0.4303115904239771,0.091
8.0,16,3,2,0.3402142965746157,0.184
8.0,20,0,0,0.23534900946473677,0.338
8.0,24,0,0,0.12848333961603106,0.612
8.0,28,3,2,0.04461970896658986,0.823
10.0,0,0,0,0.48724724949285464,0.053
10.0,4,3,4,0.46943688684577467,0.055
10.0,8,3,3,0.4682545409223277,0.064
10.0,12,3,2,0.44252592899992244,0.081
10.0,16,5,4,0.36596615258364973,0.153
10.0,20,0,0,0.2777906739624005,0.298
10.0,24,0,0,0.17444380671919285,0.491
10.0,28,5,4,0.08360281547639614,0.698
12.0,0,3,2,0.49751593306086794,0.056
12.0,4,3,3,0.48528864627596696,0.054
12.0,8,0,0,0.4770141219324641,0.065
12.0,12,0,0,0.462612731604359,0.089
12.0,16,3,4,0.39006011546146857,0.128
12.0,20,3,3,0.3117105010875328,0.235
12.0,24,0,0,0.19619150798378068,0.422
12.0,28,3,3,0.11370855670733003,0.611
